Caso,Coste,Tiempo
MDG-a_1_n500_m50,6903.2,0.001342
MDG-a_2_n500_m50,6726.42,0.001059
MDG-a_3_n500_m50,6830.72,0.001119
MDG-a_4_n500_m50,6772.54,0.001326
MDG-a_5_n500_m50,6867.38,0.001395
MDG-a_6_n500_m50,6569.14,0.000865
MDG-a_7_n500_m50,6532.41,0.001134
MDG-a_8_n500_m50,6533.71,0.001135
MDG-a_9_n500_m50,6738.75,0.001341
MDG-a_10_n500_m50,6619.7,0.00075
MDG-b_21_n2000_m200,1.04438e+07,0.024349
MDG-b_22_n2000_m200,1.03061e+07,0.015801
MDG-b_23_n2000_m200,1.01617e+07,0.008897
MDG-b_24_n2000_m200,1.04794e+07,0.0204
MDG-b_25_n2000_m200,1.03377e+07,0.011006
MDG-b_26_n2000_m200,1.03667e+07,0.017297
MDG-b_27_n2000_m200,1.02595e+07,0.012108
MDG-b_28_n2000_m200,1.01948e+07,0.009755
MDG-b_29_n2000_m200,1.03053e+07,0.014012
MDG-b_30_n2000_m200,1.03938e+07,0.017204
MDG-c_1_n3000_m300,2.32288e+07,0.050192
MDG-c_2_n3000_m300,2.31506e+07,0.045528
MDG-c_8_n3000_m400,4.10273e+07,0.073655
MDG-c_9_n3000_m400,4.09679e+07,0.061892
MDG-c_10_n3000_m400,4.06536e+07,0.049805
MDG-c_13_n3000_m500,6.35369e+07,0.066794
MDG-c_14_n3000_m500,6.31063e+07,0.040179
MDG-c_15_n3000_m500,6.36429e+07,0.084728
MDG-c_19_n3000_m600,9.17489e+07,0.157085
MDG-c_20_n3000_m600,9.11941e+07,0.084278
