Caso,Coste,Tiempo
MDG-a_1_n500_m50,6903.2,0.001372
MDG-a_2_n500_m50,6726.42,0.001019
MDG-a_3_n500_m50,6830.72,0.001044
MDG-a_4_n500_m50,6772.54,0.000931
MDG-a_5_n500_m50,6867.38,0.001
MDG-a_6_n500_m50,6569.14,0.000568
MDG-a_7_n500_m50,6532.41,0.000699
MDG-a_8_n500_m50,6533.71,0.000745
MDG-a_9_n500_m50,6738.75,0.000843
MDG-a_10_n500_m50,6619.7,0.000727
MDG-b_21_n2000_m200,1.04438e+07,0.024062
MDG-b_22_n2000_m200,1.03061e+07,0.015501
MDG-b_23_n2000_m200,1.01617e+07,0.008733
MDG-b_24_n2000_m200,1.04794e+07,0.02016
MDG-b_25_n2000_m200,1.03377e+07,0.010718
MDG-b_26_n2000_m200,1.03667e+07,0.01713
MDG-b_27_n2000_m200,1.02595e+07,0.011594
MDG-b_28_n2000_m200,1.01948e+07,0.009657
MDG-b_29_n2000_m200,1.03053e+07,0.013621
MDG-b_30_n2000_m200,1.03938e+07,0.016816
MDG-c_1_n3000_m300,2.32288e+07,0.050133
MDG-c_2_n3000_m300,2.31506e+07,0.045961
MDG-c_8_n3000_m400,4.10273e+07,0.083509
MDG-c_9_n3000_m400,4.09679e+07,0.061019
MDG-c_10_n3000_m400,4.06536e+07,0.050237
MDG-c_13_n3000_m500,6.35369e+07,0.0655
MDG-c_14_n3000_m500,6.31063e+07,0.033837
MDG-c_15_n3000_m500,6.36429e+07,0.085714
MDG-c_19_n3000_m600,9.17489e+07,0.158766
MDG-c_20_n3000_m600,9.11941e+07,0.085798
