Caso,Coste,Tiempo
MDG-a_1_n500_m50,5904.47,0.032639
MDG-a_2_n500_m50,6079.41,0.033277
MDG-a_3_n500_m50,5935.64,0.032198
MDG-a_4_n500_m50,5953.11,0.033015
MDG-a_5_n500_m50,5817.93,0.033741
MDG-a_6_n500_m50,5911.4,0.032486
MDG-a_7_n500_m50,5878.52,0.0336
MDG-a_8_n500_m50,5843.74,0.032842
MDG-a_9_n500_m50,6241.71,0.032656
MDG-a_10_n500_m50,5680.59,0.032666
MDG-b_21_n2000_m200,9.85218e+06,1.61212
MDG-b_22_n2000_m200,9.87287e+06,1.5618
MDG-b_23_n2000_m200,9.94334e+06,1.58777
MDG-b_24_n2000_m200,9.88186e+06,1.5978
MDG-b_25_n2000_m200,9.86949e+06,1.60257
MDG-b_26_n2000_m200,9.91394e+06,1.57786
MDG-b_27_n2000_m200,9.93574e+06,1.5675
MDG-b_28_n2000_m200,9.86062e+06,1.54245
MDG-b_29_n2000_m200,9.8175e+06,1.63002
MDG-b_30_n2000_m200,9.8812e+06,1.55254
MDG-c_1_n3000_m300,2.23418e+07,5.50381
MDG-c_2_n3000_m300,2.2287e+07,5.20339
MDG-c_8_n3000_m400,3.97794e+07,9.44046
MDG-c_9_n3000_m400,3.97583e+07,8.99882
MDG-c_10_n3000_m400,3.99498e+07,9.11433
MDG-c_13_n3000_m500,6.21516e+07,14.0906
MDG-c_14_n3000_m500,6.22271e+07,14.3307
MDG-c_15_n3000_m500,6.21713e+07,14.1937
MDG-c_19_n3000_m600,8.9767e+07,19.9516
MDG-c_20_n3000_m600,8.98459e+07,19.635
