Caso,Fitness,Tiempo
MDG-a_1_n500_m50,7589.63,0.684707
MDG-a_2_n500_m50,7468.69,0.689793
MDG-a_3_n500_m50,7534.9,0.698018
MDG-a_4_n500_m50,7549.79,0.69004
MDG-a_5_n500_m50,7508.54,0.691488
MDG-a_6_n500_m50,7581.15,0.686293
MDG-a_7_n500_m50,7632.93,0.689807
MDG-a_8_n500_m50,7551.61,0.688045
MDG-a_9_n500_m50,7660.34,0.685218
MDG-a_10_n500_m50,7511.52,0.693864
MDG-b_21_n2000_m200,1.1051e+07,6.94798
MDG-b_22_n2000_m200,1.09727e+07,6.86697
MDG-b_23_n2000_m200,1.10322e+07,6.66475
MDG-b_24_n2000_m200,1.104e+07,5.96563
MDG-b_25_n2000_m200,1.10482e+07,5.9755
MDG-b_26_n2000_m200,1.10212e+07,5.96973
MDG-b_27_n2000_m200,1.10443e+07,5.96078
MDG-b_28_n2000_m200,1.09949e+07,5.99388
MDG-b_29_n2000_m200,1.09854e+07,5.9001
MDG-b_30_n2000_m200,1.10492e+07,7.05282
MDG-c_1_n3000_m300,2.43426e+07,13.4025
MDG-c_2_n3000_m300,2.42963e+07,13.6472
MDG-c_8_n3000_m400,4.26802e+07,26.3853
MDG-c_9_n3000_m400,4.26516e+07,23.3189
MDG-c_10_n3000_m400,4.25868e+07,23.9874
MDG-c_13_n3000_m500,6.5921e+07,38.7242
MDG-c_14_n3000_m500,6.58826e+07,39.3649
MDG-c_15_n3000_m500,6.59509e+07,40.3313
MDG-c_19_n3000_m600,9.42772e+07,58.3306
MDG-c_20_n3000_m600,9.42318e+07,57.4141
