Caso,Fitness,Tiempo
MDG-a_1_n500_m50,7385.08,0.959992
MDG-a_2_n500_m50,7292.06,0.943202
MDG-a_3_n500_m50,7377.27,0.965203
MDG-a_4_n500_m50,7359.69,0.950168
MDG-a_5_n500_m50,7280.43,0.940996
MDG-a_6_n500_m50,7373.03,0.9308
MDG-a_7_n500_m50,7342.43,0.951364
MDG-a_8_n500_m50,7382.16,0.915322
MDG-a_9_n500_m50,7317.19,0.942548
MDG-a_10_n500_m50,7274.38,0.969045
MDG-b_21_n2000_m200,1.08248e+07,10.6955
MDG-b_22_n2000_m200,1.08092e+07,10.156
MDG-b_23_n2000_m200,1.08392e+07,10.3686
MDG-b_24_n2000_m200,1.07944e+07,10.5511
MDG-b_25_n2000_m200,1.08521e+07,10.237
MDG-b_26_n2000_m200,1.08323e+07,10.3353
MDG-b_27_n2000_m200,1.08951e+07,10.6893
MDG-b_28_n2000_m200,1.08375e+07,10.7476
MDG-b_29_n2000_m200,1.08335e+07,10.4051
MDG-b_30_n2000_m200,1.0813e+07,10.5951
MDG-c_1_n3000_m300,2.40434e+07,22.1768
MDG-c_2_n3000_m300,2.40712e+07,22.4184
MDG-c_8_n3000_m400,4.21158e+07,29.3499
MDG-c_9_n3000_m400,4.21527e+07,29.6037
MDG-c_10_n3000_m400,4.21592e+07,29.7376
MDG-c_13_n3000_m500,6.54109e+07,37.9994
MDG-c_14_n3000_m500,6.55038e+07,37.3767
MDG-c_15_n3000_m500,6.53992e+07,37.3277
MDG-c_19_n3000_m600,9.36192e+07,46.6057
MDG-c_20_n3000_m600,9.36237e+07,45.905
