Caso,Fitness,Tiempo
MDG-a_1_n500_m50,6269.22,2.8e-05
MDG-a_2_n500_m50,6013.58,2.9e-05
MDG-a_3_n500_m50,6331.47,3e-05
MDG-a_4_n500_m50,6067.4,2.8e-05
MDG-a_5_n500_m50,6124.76,5.2e-05
MDG-a_6_n500_m50,6145.35,3.2e-05
MDG-a_7_n500_m50,5938.9,2.9e-05
MDG-a_8_n500_m50,6156.5,2.3e-05
MDG-a_9_n500_m50,6188.97,2.2e-05
MDG-a_10_n500_m50,6291.26,3.1e-05
MDG-b_21_n2000_m200,9.98109e+06,0.000231
MDG-b_22_n2000_m200,9.95165e+06,0.000226
MDG-b_23_n2000_m200,9.93805e+06,0.000268
MDG-b_24_n2000_m200,9.99138e+06,0.000235
MDG-b_25_n2000_m200,1.00589e+07,0.000235
MDG-b_26_n2000_m200,9.98611e+06,0.000227
MDG-b_27_n2000_m200,9.95793e+06,0.000245
MDG-b_28_n2000_m200,9.97182e+06,0.000245
MDG-b_29_n2000_m200,9.93255e+06,0.000256
MDG-b_30_n2000_m200,9.95974e+06,0.000223
MDG-c_1_n3000_m300,2.24062e+07,0.0004
MDG-c_2_n3000_m300,2.25298e+07,0.000401
MDG-c_8_n3000_m400,3.99545e+07,0.000711
MDG-c_9_n3000_m400,3.98317e+07,0.000595
MDG-c_10_n3000_m400,4.00245e+07,0.000617
MDG-c_13_n3000_m500,6.24292e+07,0.000879
MDG-c_14_n3000_m500,6.24203e+07,0.000866
MDG-c_15_n3000_m500,6.24126e+07,0.000859
MDG-c_19_n3000_m600,8.98566e+07,0.001196
MDG-c_20_n3000_m600,9.00771e+07,0.001183
