Caso,Fitness,Tiempo
MDG-a_1_n500_m50,6890.09,0.873756
MDG-a_2_n500_m50,6731.55,0.86787
MDG-a_3_n500_m50,6849.48,0.877776
MDG-a_4_n500_m50,6766.5,0.899166
MDG-a_5_n500_m50,6930.71,0.871637
MDG-a_6_n500_m50,6898.73,0.866314
MDG-a_7_n500_m50,6838.02,0.919359
MDG-a_8_n500_m50,6970.92,0.866315
MDG-a_9_n500_m50,6933.46,0.864748
MDG-a_10_n500_m50,6822.32,0.884096
MDG-b_21_n2000_m200,1.03545e+07,7.36246
MDG-b_22_n2000_m200,1.03256e+07,7.42415
MDG-b_23_n2000_m200,1.03582e+07,7.54506
MDG-b_24_n2000_m200,1.03522e+07,6.42928
MDG-b_25_n2000_m200,1.0372e+07,6.40277
