Caso,Fitness,Tiempo
MDG-a_1_n500_m50,7427.53,1.247
MDG-a_2_n500_m50,7372.65,1.2349
MDG-a_3_n500_m50,7280.11,1.31716
MDG-a_4_n500_m50,7449.77,1.23839
MDG-a_5_n500_m50,7466.38,1.2314
MDG-a_6_n500_m50,7533.04,1.22887
MDG-a_7_n500_m50,7242.68,1.17513
MDG-a_8_n500_m50,7372.5,1.22157
MDG-a_9_n500_m50,7516.58,1.22962
MDG-a_10_n500_m50,7410.41,1.21637
MDG-b_21_n2000_m200,1.0667e+07,12.0938
MDG-b_22_n2000_m200,1.07339e+07,14.1698
MDG-b_23_n2000_m200,1.08197e+07,12.0954
MDG-b_24_n2000_m200,1.07994e+07,11.7483
MDG-b_25_n2000_m200,1.08437e+07,13.955
MDG-b_26_n2000_m200,1.08476e+07,14.3437
MDG-b_27_n2000_m200,1.08513e+07,12.7264
MDG-b_28_n2000_m200,1.07305e+07,11.0359
MDG-b_29_n2000_m200,1.08476e+07,12.7151
MDG-b_30_n2000_m200,1.08018e+07,12.7099
MDG-c_1_n3000_m300,2.36443e+07,25.8846
MDG-c_2_n3000_m300,2.37161e+07,30.5429
MDG-c_8_n3000_m400,4.19281e+07,45.426
MDG-c_9_n3000_m400,4.1687e+07,48.6896
MDG-c_10_n3000_m400,4.18885e+07,47.7691
MDG-c_13_n3000_m500,6.48435e+07,63.5992
MDG-c_14_n3000_m500,6.47669e+07,62.8761
MDG-c_15_n3000_m500,6.44937e+07,66.4393
MDG-c_19_n3000_m600,9.2798e+07,88.1041
MDG-c_20_n3000_m600,9.27819e+07,89.4025
