Caso,Fitness,Tiempo
MDG-a_1_n500_m50,7609.81,2.05134
MDG-a_2_n500_m50,7594.03,2.42187
MDG-a_3_n500_m50,7684.39,2.40216
MDG-a_4_n500_m50,7594.44,2.27867
MDG-a_5_n500_m50,7629.28,2.08868
MDG-a_6_n500_m50,7617.04,2.54159
MDG-a_7_n500_m50,7655.98,2.28424
MDG-a_8_n500_m50,7614.36,2.36072
MDG-a_9_n500_m50,7708.22,2.68403
MDG-a_10_n500_m50,7581.82,2.36472
MDG-b_21_n2000_m200,1.11562e+07,52.4846
MDG-b_22_n2000_m200,1.11116e+07,49.4155
MDG-b_23_n2000_m200,1.1171e+07,55.4078
MDG-b_24_n2000_m200,1.11512e+07,55.3212
MDG-b_25_n2000_m200,1.11235e+07,44.715
MDG-b_26_n2000_m200,1.11072e+07,59.7084
MDG-b_27_n2000_m200,1.11602e+07,55.9708
MDG-b_28_n2000_m200,1.11399e+07,57.9583
MDG-b_29_n2000_m200,1.10807e+07,49.1969
MDG-b_30_n2000_m200,1.11522e+07,60.2794
MDG-c_1_n3000_m300,2.45978e+07,169.714
MDG-c_2_n3000_m300,2.45846e+07,180.827
MDG-c_8_n3000_m400,4.30586e+07,262.022
MDG-c_9_n3000_m400,4.30308e+07,248.802
MDG-c_10_n3000_m400,4.29218e+07,295.172
MDG-c_13_n3000_m500,6.6494e+07,374.873
MDG-c_14_n3000_m500,6.63398e+07,376.785
MDG-c_15_n3000_m500,6.64403e+07,381.491
MDG-c_19_n3000_m600,9.49616e+07,555.25
MDG-c_20_n3000_m600,9.48901e+07,541.856
