Caso,Fitness,Tiempo
MDG-a_1_n500_m50,7819.1,2.11484
MDG-a_2_n500_m50,7673.42,2.41205
MDG-a_3_n500_m50,7602.34,1.8862
MDG-a_4_n500_m50,7632.73,2.44701
MDG-a_5_n500_m50,7633.78,2.53665
MDG-a_6_n500_m50,7646.47,2.08569
MDG-a_7_n500_m50,7687.96,2.05999
MDG-a_8_n500_m50,7627.65,2.23099
MDG-a_9_n500_m50,7614.45,2.28965
MDG-a_10_n500_m50,7635.64,1.58841
MDG-b_21_n2000_m200,1.10674e+07,32.2627
MDG-b_22_n2000_m200,1.10826e+07,31.7925
MDG-b_23_n2000_m200,1.10831e+07,38.8069
MDG-b_24_n2000_m200,1.11084e+07,31.8356
MDG-b_25_n2000_m200,1.10998e+07,39.0579
MDG-b_26_n2000_m200,1.10517e+07,42.0403
MDG-b_27_n2000_m200,1.11188e+07,38.5389
MDG-b_28_n2000_m200,1.11062e+07,35.7289
MDG-b_29_n2000_m200,1.11731e+07,50.1483
MDG-b_30_n2000_m200,1.11203e+07,34.0905
MDG-c_1_n3000_m300,2.46139e+07,131.476
MDG-c_2_n3000_m300,2.45572e+07,83.4747
MDG-c_8_n3000_m400,4.28519e+07,142.376
MDG-c_9_n3000_m400,4.29832e+07,188.607
MDG-c_10_n3000_m400,4.2859e+07,134.576
MDG-c_13_n3000_m500,6.62591e+07,178.856
MDG-c_14_n3000_m500,6.64517e+07,189.86
MDG-c_15_n3000_m500,6.62921e+07,182.962
MDG-c_19_n3000_m600,9.47635e+07,234.792
MDG-c_20_n3000_m600,9.41476e+07,360.274
