Caso,Fitness,Tiempo
MDG-a_1_n500_m50,6702.7,0.026097
MDG-a_2_n500_m50,6431.41,0.02622
MDG-a_3_n500_m50,6665.19,0.027153
MDG-a_4_n500_m50,6510.59,0.026091
MDG-a_5_n500_m50,6544.76,0.026054
MDG-a_6_n500_m50,6488.67,0.026511
MDG-a_7_n500_m50,6398.69,0.027614
MDG-a_8_n500_m50,6563.05,0.026071
MDG-a_9_n500_m50,6549.2,0.026138
MDG-a_10_n500_m50,6623.1,0.025936
MDG-b_21_n2000_m200,9.99579e+06,0.120723
MDG-b_22_n2000_m200,9.95989e+06,0.119375
MDG-b_23_n2000_m200,9.95372e+06,0.120423
MDG-b_24_n2000_m200,1.00047e+07,0.11813
MDG-b_25_n2000_m200,1.00727e+07,0.129841
MDG-b_26_n2000_m200,9.99058e+06,0.121567
MDG-b_27_n2000_m200,9.96679e+06,0.119892
MDG-b_28_n2000_m200,9.98492e+06,0.119209
MDG-b_29_n2000_m200,9.94542e+06,0.120815
MDG-b_30_n2000_m200,9.9801e+06,0.118825
MDG-c_1_n3000_m300,2.2425e+07,0.190706
MDG-c_2_n3000_m300,2.25415e+07,0.197082
MDG-c_8_n3000_m400,3.9977e+07,0.279227
MDG-c_9_n3000_m400,3.98509e+07,0.285511
MDG-c_10_n3000_m400,4.00564e+07,0.282153
MDG-c_13_n3000_m500,6.24386e+07,0.413863
MDG-c_14_n3000_m500,6.24326e+07,0.399971
MDG-c_15_n3000_m500,6.24352e+07,0.400756
MDG-c_19_n3000_m600,8.98738e+07,0.52808
MDG-c_20_n3000_m600,9.01038e+07,0.518685
