Caso,Fitness,Tiempo
MDG-a_1_n500_m50,5904.47,0.002828
MDG-a_2_n500_m50,6079.41,0.002789
MDG-a_3_n500_m50,5935.64,0.002683
MDG-a_4_n500_m50,5953.11,0.002789
MDG-a_5_n500_m50,5817.93,0.002762
MDG-a_6_n500_m50,6006.28,0.002743
MDG-a_7_n500_m50,5878.52,0.002855
MDG-a_8_n500_m50,5843.74,0.002632
MDG-a_9_n500_m50,6241.71,0.002579
MDG-a_10_n500_m50,5680.59,0.002721
MDG-b_21_n2000_m200,9.85218e+06,0.233553
MDG-b_22_n2000_m200,9.87287e+06,0.234518
MDG-b_23_n2000_m200,9.94334e+06,0.253469
MDG-b_24_n2000_m200,9.88186e+06,0.243675
MDG-b_25_n2000_m200,9.86949e+06,0.236296
MDG-b_26_n2000_m200,9.91394e+06,0.26197
MDG-b_27_n2000_m200,9.93574e+06,0.24787
MDG-b_28_n2000_m200,9.86062e+06,0.228519
MDG-b_29_n2000_m200,9.8175e+06,0.244676
MDG-b_30_n2000_m200,9.8812e+06,0.225857
MDG-c_1_n3000_m300,2.23418e+07,0.867702
MDG-c_2_n3000_m300,2.22786e+07,0.827703
MDG-c_8_n3000_m400,3.97794e+07,1.50415
MDG-c_9_n3000_m400,3.97583e+07,1.53032
MDG-c_10_n3000_m400,3.99498e+07,1.49027
MDG-c_13_n3000_m500,6.22196e+07,2.24823
MDG-c_14_n3000_m500,6.22271e+07,2.38319
MDG-c_15_n3000_m500,6.21633e+07,2.18022
MDG-c_19_n3000_m600,8.9767e+07,3.21624
MDG-c_20_n3000_m600,8.96747e+07,3.22367
