Caso,Fitness,Tiempo
MDG-a_1_n500_m50,7580.42,0.00934
MDG-a_2_n500_m50,7596.83,0.010127
MDG-a_3_n500_m50,7579.62,0.009305
MDG-a_4_n500_m50,7651.16,0.009471
MDG-a_5_n500_m50,7590.18,0.009183
MDG-a_6_n500_m50,7627.78,0.010112
MDG-a_7_n500_m50,7645.47,0.010788
MDG-a_8_n500_m50,7611.91,0.009627
MDG-a_9_n500_m50,7597.64,0.009291
MDG-a_10_n500_m50,7630.51,0.008888
MDG-b_21_n2000_m200,1.12177e+07,0.240367
MDG-b_22_n2000_m200,1.11879e+07,0.235495
MDG-b_23_n2000_m200,1.1164e+07,0.245144
MDG-b_24_n2000_m200,1.11909e+07,0.248495
MDG-b_25_n2000_m200,1.11981e+07,0.228986
MDG-b_26_n2000_m200,1.1155e+07,0.22212
MDG-b_27_n2000_m200,1.1158e+07,0.224415
MDG-b_28_n2000_m200,1.11617e+07,0.221681
MDG-b_29_n2000_m200,1.11602e+07,0.226409
MDG-b_30_n2000_m200,1.11991e+07,0.231071
MDG-c_1_n3000_m300,2.47146e+07,0.448829
MDG-c_2_n3000_m300,2.47133e+07,0.485584
MDG-c_8_n3000_m400,4.32579e+07,0.628404
MDG-c_9_n3000_m400,4.3195e+07,0.612408
MDG-c_10_n3000_m400,4.3216e+07,0.613963
MDG-c_13_n3000_m500,6.66579e+07,0.817419
MDG-c_14_n3000_m500,6.67509e+07,0.845897
MDG-c_15_n3000_m500,6.6825e+07,0.817363
MDG-c_19_n3000_m600,9.52561e+07,1.03646
MDG-c_20_n3000_m600,9.51768e+07,1.1099
