Caso,Fitness,Tiempo
MDG-a_1_n500_m50,7731.39,0.04794
MDG-a_2_n500_m50,7680.29,0.048635
MDG-a_3_n500_m50,7696.92,0.049007
MDG-a_4_n500_m50,7655.34,0.048013
MDG-a_5_n500_m50,7625.51,0.048655
MDG-a_6_n500_m50,7699.38,0.048466
MDG-a_7_n500_m50,7693.87,0.047886
MDG-a_8_n500_m50,7713.35,0.048932
MDG-a_9_n500_m50,7701.62,0.04834
MDG-a_10_n500_m50,7701.47,0.047335
MDG-b_21_n2000_m200,1.11985e+07,0.487195
MDG-b_22_n2000_m200,1.11822e+07,0.486493
MDG-b_23_n2000_m200,1.11892e+07,0.477135
MDG-b_24_n2000_m200,1.11666e+07,0.481424
MDG-b_25_n2000_m200,1.11921e+07,0.469966
MDG-b_26_n2000_m200,1.11786e+07,0.480459
MDG-b_27_n2000_m200,1.11975e+07,0.479324
MDG-b_28_n2000_m200,1.11759e+07,0.484965
MDG-b_29_n2000_m200,1.11756e+07,0.481804
MDG-b_30_n2000_m200,1.1186e+07,0.487894
MDG-c_1_n3000_m300,2.46402e+07,0.974866
MDG-c_2_n3000_m300,2.4631e+07,0.962618
MDG-c_8_n3000_m400,4.30964e+07,1.36664
MDG-c_9_n3000_m400,4.31169e+07,1.36646
MDG-c_10_n3000_m400,4.30764e+07,1.34734
MDG-c_13_n3000_m500,6.66105e+07,1.76976
MDG-c_14_n3000_m500,6.65644e+07,1.76172
MDG-c_15_n3000_m500,6.6639e+07,1.77951
MDG-c_19_n3000_m600,9.51365e+07,2.22741
MDG-c_20_n3000_m600,9.51192e+07,2.22851
