Caso,Fitness,Tiempo
MDG-a_1_n500_m50,7662.35,0.001499
MDG-a_2_n500_m50,7619.08,0.00246
MDG-a_3_n500_m50,7661.02,0.001484
MDG-a_4_n500_m50,7571.34,0.001816
MDG-a_5_n500_m50,7569.12,0.002295
MDG-a_6_n500_m50,7391.05,0.001181
MDG-a_7_n500_m50,7578.57,0.001829
MDG-a_8_n500_m50,7544.71,0.001954
MDG-a_9_n500_m50,7510.87,0.001636
MDG-a_10_n500_m50,7639.29,0.002478
MDG-b_21_n2000_m200,1.11754e+07,0.04606
MDG-b_22_n2000_m200,1.11968e+07,0.06963
MDG-b_23_n2000_m200,1.11959e+07,0.052832
MDG-b_24_n2000_m200,1.11647e+07,0.060417
MDG-b_25_n2000_m200,1.11534e+07,0.048207
MDG-b_26_n2000_m200,1.11725e+07,0.06684
MDG-b_27_n2000_m200,1.116e+07,0.054819
MDG-b_28_n2000_m200,1.11883e+07,0.063072
MDG-b_29_n2000_m200,1.11957e+07,0.06745
MDG-b_30_n2000_m200,1.11688e+07,0.052339
MDG-c_1_n3000_m300,2.47481e+07,0.164261
MDG-c_2_n3000_m300,2.47476e+07,0.236918
MDG-c_8_n3000_m400,4.32277e+07,0.345351
MDG-c_9_n3000_m400,4.31188e+07,0.267055
MDG-c_10_n3000_m400,4.3156e+07,0.190601
MDG-c_13_n3000_m500,6.67333e+07,0.40889
MDG-c_14_n3000_m500,6.67219e+07,0.644387
MDG-c_15_n3000_m500,6.68019e+07,0.373423
MDG-c_19_n3000_m600,9.52982e+07,0.906547
MDG-c_20_n3000_m600,9.52356e+07,0.696627
