Caso,Fitness,Tiempo
MDG-a_1_n500_m50,7713.86,0.010577
MDG-a_2_n500_m50,7729.01,0.012923
MDG-a_3_n500_m50,7713.51,0.009658
MDG-a_4_n500_m50,7698.3,0.012562
MDG-a_5_n500_m50,7577.39,0.011146
MDG-a_6_n500_m50,7632.64,0.012367
MDG-a_7_n500_m50,7639.66,0.010791
MDG-a_8_n500_m50,7606.8,0.011187
MDG-a_9_n500_m50,7706.26,0.012422
MDG-a_10_n500_m50,7641.79,0.011169
MDG-b_21_n2000_m200,1.12469e+07,0.258088
MDG-b_22_n2000_m200,1.12022e+07,0.257177
MDG-b_23_n2000_m200,1.12287e+07,0.258957
MDG-b_24_n2000_m200,1.11937e+07,0.25533
MDG-b_25_n2000_m200,1.12074e+07,0.257244
MDG-b_26_n2000_m200,1.12312e+07,0.256752
MDG-b_27_n2000_m200,1.12181e+07,0.257822
MDG-b_28_n2000_m200,1.12325e+07,0.260064
MDG-b_29_n2000_m200,1.12236e+07,0.258145
MDG-b_30_n2000_m200,1.12542e+07,0.262693
MDG-c_1_n3000_m300,2.47955e+07,0.507359
MDG-c_2_n3000_m300,2.47537e+07,0.520902
MDG-c_8_n3000_m400,4.32848e+07,0.766932
MDG-c_9_n3000_m400,4.32575e+07,0.812655
MDG-c_10_n3000_m400,4.32379e+07,0.776096
MDG-c_13_n3000_m500,6.68094e+07,1.07739
MDG-c_14_n3000_m500,6.67765e+07,1.08996
MDG-c_15_n3000_m500,6.68543e+07,1.07662
MDG-c_19_n3000_m600,9.53797e+07,1.47867
MDG-c_20_n3000_m600,9.53819e+07,1.4274
