Caso,Fitness,Tiempo
MDG-a_1_n500_m50,7640.42,0.031396
MDG-a_2_n500_m50,7560.79,0.023207
MDG-a_3_n500_m50,7628.21,0.02187
MDG-a_4_n500_m50,7588.94,0.027935
MDG-a_5_n500_m50,7581.57,0.02672
MDG-a_6_n500_m50,7654.22,0.027851
MDG-a_7_n500_m50,7572.2,0.025263
MDG-a_8_n500_m50,7580.45,0.024272
MDG-a_9_n500_m50,7675.17,0.026971
MDG-a_10_n500_m50,7520.35,0.023046
MDG-b_21_n2000_m200,1.10429e+07,0.215303
MDG-b_22_n2000_m200,1.10264e+07,0.216867
MDG-b_23_n2000_m200,1.10375e+07,0.214607
MDG-b_24_n2000_m200,1.10385e+07,0.216342
MDG-b_25_n2000_m200,1.10687e+07,0.215448
MDG-b_26_n2000_m200,1.10472e+07,0.216741
MDG-b_27_n2000_m200,1.10546e+07,0.214008
MDG-b_28_n2000_m200,1.1041e+07,0.216029
MDG-b_29_n2000_m200,1.10395e+07,0.213337
MDG-b_30_n2000_m200,1.1027e+07,0.214819
MDG-c_1_n3000_m300,2.43664e+07,0.367828
MDG-c_2_n3000_m300,2.43349e+07,0.3669
MDG-c_8_n3000_m400,4.26955e+07,0.522372
MDG-c_9_n3000_m400,4.25954e+07,0.520006
MDG-c_10_n3000_m400,4.26572e+07,0.514725
MDG-c_13_n3000_m500,6.59688e+07,0.677711
MDG-c_14_n3000_m500,6.59762e+07,0.682413
MDG-c_15_n3000_m500,6.60201e+07,0.677638
MDG-c_19_n3000_m600,9.42733e+07,0.857369
MDG-c_20_n3000_m600,9.44296e+07,0.853007
