Caso,Fitness,Tiempo
MDG-a_1_n500_m50,7675.02,0.033767
MDG-a_2_n500_m50,7701.49,0.034301
MDG-a_3_n500_m50,7661.18,0.033301
MDG-a_4_n500_m50,7663.07,0.034187
MDG-a_5_n500_m50,7632.15,0.03324
MDG-a_6_n500_m50,7680.11,0.034124
MDG-a_7_n500_m50,7688.7,0.035086
MDG-a_8_n500_m50,7650.64,0.034505
MDG-a_9_n500_m50,7749.55,0.035406
MDG-a_10_n500_m50,7683.64,0.034614
MDG-b_21_n2000_m200,1.12254e+07,0.316103
MDG-b_22_n2000_m200,1.12147e+07,0.393328
MDG-b_23_n2000_m200,1.11997e+07,0.339765
MDG-b_24_n2000_m200,1.12331e+07,0.352158
MDG-b_25_n2000_m200,1.12169e+07,0.322055
MDG-b_26_n2000_m200,1.12334e+07,0.28977
MDG-b_27_n2000_m200,1.11832e+07,0.292923
MDG-b_28_n2000_m200,1.12167e+07,0.294567
MDG-b_29_n2000_m200,1.12283e+07,0.296172
MDG-b_30_n2000_m200,1.1215e+07,0.291735
MDG-c_1_n3000_m300,2.48219e+07,0.7253
MDG-c_2_n3000_m300,2.47683e+07,0.606528
MDG-c_8_n3000_m400,4.3289e+07,0.995152
MDG-c_9_n3000_m400,4.32496e+07,0.864283
MDG-c_10_n3000_m400,4.32747e+07,0.819254
MDG-c_13_n3000_m500,6.67769e+07,1.06687
MDG-c_14_n3000_m500,6.68544e+07,1.19511
MDG-c_15_n3000_m500,6.69246e+07,1.10118
MDG-c_19_n3000_m600,9.53864e+07,1.358
MDG-c_20_n3000_m600,9.53259e+07,1.50741
