funcid,dim,milestone,error
13,10,1,2.841536e+09
13,10,2,2.841536e+09
13,10,3,2.841536e+09
13,10,5,2.841536e+09
13,10,10,2.841536e+09
13,10,20,2.841536e+09
13,10,30,2.841536e+09
13,10,40,2.841536e+09
13,10,50,2.841536e+09
13,10,60,2.841536e+09
13,10,70,2.841536e+09
13,10,80,2.841536e+09
13,10,90,2.841536e+09
13,10,100,2.841536e+09
13,10,1,2.841536e+09
13,10,2,2.841536e+09
13,10,3,2.841536e+09
13,10,5,2.841536e+09
13,10,10,2.841536e+09
13,10,20,2.841536e+09
13,10,30,2.841536e+09
13,10,40,2.841536e+09
13,10,50,2.841536e+09
13,10,60,2.841536e+09
13,10,70,2.841536e+09
13,10,80,2.841536e+09
13,10,90,2.841536e+09
13,10,100,2.841536e+09
13,10,1,2.841536e+09
13,10,2,2.841536e+09
13,10,3,2.841536e+09
13,10,5,2.841536e+09
13,10,10,2.841536e+09
13,10,20,2.841536e+09
13,10,30,2.841536e+09
13,10,40,2.841536e+09
13,10,50,2.841536e+09
13,10,60,2.841536e+09
13,10,70,2.841536e+09
13,10,80,2.841536e+09
13,10,90,2.841536e+09
13,10,100,2.841536e+09
13,10,1,2.841536e+09
13,10,2,2.841536e+09
13,10,3,2.841536e+09
13,10,5,2.841536e+09
13,10,10,2.841536e+09
13,10,20,2.841536e+09
13,10,30,2.841536e+09
13,10,40,2.841536e+09
13,10,50,2.841536e+09
13,10,60,2.841536e+09
13,10,70,2.841536e+09
13,10,80,2.841536e+09
13,10,90,2.841536e+09
13,10,100,2.841536e+09
13,10,1,2.841536e+09
13,10,2,2.841536e+09
13,10,3,2.841536e+09
13,10,5,2.841536e+09
13,10,10,2.841536e+09
13,10,20,2.841536e+09
13,10,30,2.841536e+09
13,10,40,2.841536e+09
13,10,50,2.841536e+09
13,10,60,2.841536e+09
13,10,70,2.841536e+09
13,10,80,2.841536e+09
13,10,90,2.841536e+09
13,10,100,2.841536e+09
13,10,1,2.841536e+09
13,10,2,2.841536e+09
13,10,3,2.841536e+09
13,10,5,2.841536e+09
13,10,10,2.841536e+09
13,10,20,2.841536e+09
13,10,30,2.841536e+09
13,10,40,2.841536e+09
13,10,50,2.841536e+09
13,10,60,2.841536e+09
13,10,70,2.841536e+09
13,10,80,2.841536e+09
13,10,90,2.841536e+09
13,10,100,2.841536e+09
13,10,1,2.841536e+09
13,10,2,2.841536e+09
13,10,3,2.841536e+09
13,10,5,2.841536e+09
13,10,10,2.841536e+09
13,10,20,2.841536e+09
13,10,30,2.841536e+09
13,10,40,2.841536e+09
13,10,50,2.841536e+09
13,10,60,2.841536e+09
13,10,70,2.841536e+09
13,10,80,2.841536e+09
13,10,90,2.841536e+09
13,10,100,2.841536e+09
13,10,1,2.841536e+09
13,10,2,2.841536e+09
13,10,3,2.841536e+09
13,10,5,2.841536e+09
13,10,10,2.841536e+09
13,10,20,2.841536e+09
13,10,30,2.841536e+09
13,10,40,2.841536e+09
13,10,50,2.841536e+09
13,10,60,2.841536e+09
13,10,70,2.841536e+09
13,10,80,2.841536e+09
13,10,90,2.841536e+09
13,10,100,2.841536e+09
13,10,1,2.841536e+09
13,10,2,2.841536e+09
13,10,3,2.841536e+09
13,10,5,2.841536e+09
13,10,10,2.841536e+09
13,10,20,2.841536e+09
13,10,30,2.841536e+09
13,10,40,2.841536e+09
13,10,50,2.841536e+09
13,10,60,2.841536e+09
13,10,70,2.841536e+09
13,10,80,2.841536e+09
13,10,90,2.841536e+09
13,10,100,2.841536e+09
13,10,1,2.841536e+09
13,10,2,2.841536e+09
13,10,3,2.841536e+09
13,10,5,2.841536e+09
13,10,10,2.841536e+09
13,10,20,2.841536e+09
13,10,30,2.841536e+09
13,10,40,2.841536e+09
13,10,50,2.841536e+09
13,10,60,2.841536e+09
13,10,70,2.841536e+09
13,10,80,2.841536e+09
13,10,90,2.841536e+09
13,10,100,2.841536e+09
