funcid,dim,milestone,error
27,10,1,4.300360e+02
27,10,2,4.115163e+02
27,10,3,4.115159e+02
27,10,5,4.087887e+02
27,10,10,3.973935e+02
27,10,20,3.970511e+02
27,10,30,3.963807e+02
27,10,40,3.961257e+02
27,10,50,3.960034e+02
27,10,60,3.959725e+02
27,10,70,3.958611e+02
27,10,80,3.957782e+02
27,10,90,3.957474e+02
27,10,100,3.957263e+02
27,10,1,4.049910e+02
27,10,2,4.047747e+02
27,10,3,4.046599e+02
27,10,5,4.034411e+02
27,10,10,4.031513e+02
27,10,20,4.029394e+02
27,10,30,3.943500e+02
27,10,40,3.936366e+02
27,10,50,3.935857e+02
27,10,60,3.935836e+02
27,10,70,3.935835e+02
27,10,80,3.935835e+02
27,10,90,3.935835e+02
27,10,100,3.935835e+02
27,10,1,4.029810e+02
27,10,2,4.029807e+02
27,10,3,4.023731e+02
27,10,5,4.007485e+02
27,10,10,4.007223e+02
27,10,20,3.963219e+02
27,10,30,3.960505e+02
27,10,40,3.960268e+02
27,10,50,3.960040e+02
27,10,60,3.959421e+02
27,10,70,3.959244e+02
27,10,80,3.959094e+02
27,10,90,3.959057e+02
27,10,100,3.959004e+02
27,10,1,4.121312e+02
27,10,2,4.010744e+02
27,10,3,4.008455e+02
27,10,5,4.008342e+02
27,10,10,4.006710e+02
27,10,20,4.000117e+02
27,10,30,3.997062e+02
27,10,40,3.994048e+02
27,10,50,3.991362e+02
27,10,60,3.988524e+02
27,10,70,3.986530e+02
27,10,80,3.985834e+02
27,10,90,3.985512e+02
27,10,100,3.897896e+02
27,10,1,4.069955e+02
27,10,2,4.007124e+02
27,10,3,3.996226e+02
27,10,5,3.985883e+02
27,10,10,3.963923e+02
27,10,20,3.956212e+02
27,10,30,3.954414e+02
27,10,40,3.953539e+02
27,10,50,3.953426e+02
27,10,60,3.952882e+02
27,10,70,3.952687e+02
27,10,80,3.942248e+02
27,10,90,3.937993e+02
27,10,100,3.937395e+02
27,10,1,4.069534e+02
27,10,2,4.049556e+02
27,10,3,4.040145e+02
27,10,5,4.039577e+02
27,10,10,4.029134e+02
27,10,20,4.028492e+02
27,10,30,4.027322e+02
27,10,40,4.003416e+02
27,10,50,3.990984e+02
27,10,60,3.989364e+02
27,10,70,3.988348e+02
27,10,80,3.988110e+02
27,10,90,3.987947e+02
27,10,100,3.987668e+02
27,10,1,4.136219e+02
27,10,2,4.135641e+02
27,10,3,4.134552e+02
27,10,5,4.122519e+02
27,10,10,4.121427e+02
27,10,20,4.114422e+02
27,10,30,4.077650e+02
27,10,40,4.074493e+02
27,10,50,4.073086e+02
27,10,60,3.989212e+02
27,10,70,3.944785e+02
27,10,80,3.936238e+02
27,10,90,3.935847e+02
27,10,100,3.935836e+02
27,10,1,4.060622e+02
27,10,2,4.013365e+02
27,10,3,3.982574e+02
27,10,5,3.982324e+02
27,10,10,3.981079e+02
27,10,20,3.978994e+02
27,10,30,3.977699e+02
27,10,40,3.976712e+02
27,10,50,3.975825e+02
27,10,60,3.975322e+02
27,10,70,3.962925e+02
27,10,80,3.962692e+02
27,10,90,3.928075e+02
27,10,100,3.927101e+02
27,10,1,4.206276e+02
27,10,2,4.169291e+02
27,10,3,4.166026e+02
27,10,5,4.082080e+02
27,10,10,3.985967e+02
27,10,20,3.936713e+02
27,10,30,3.934663e+02
27,10,40,3.933329e+02
27,10,50,3.932304e+02
27,10,60,3.931727e+02
27,10,70,3.931586e+02
27,10,80,3.931177e+02
27,10,90,3.931106e+02
27,10,100,3.931037e+02
27,10,1,4.184556e+02
27,10,2,4.052155e+02
27,10,3,4.042593e+02
27,10,5,4.039687e+02
27,10,10,3.977222e+02
27,10,20,3.976248e+02
27,10,30,3.975064e+02
27,10,40,3.974142e+02
27,10,50,3.973896e+02
27,10,60,3.973757e+02
27,10,70,3.973665e+02
27,10,80,3.970544e+02
27,10,90,3.970123e+02
27,10,100,3.969905e+02
