funcid,dim,milestone,error
13,10,1,3.910382e+04
13,10,2,3.910322e+04
13,10,3,3.851630e+04
13,10,5,3.251568e+04
13,10,10,2.894870e+03
13,10,20,1.819268e+03
13,10,30,1.819231e+03
13,10,40,1.819231e+03
13,10,50,1.819231e+03
13,10,60,1.819231e+03
13,10,70,8.166050e+02
13,10,80,8.124390e+02
13,10,90,8.124390e+02
13,10,100,8.124329e+02
13,10,1,1.788134e+03
13,10,2,1.788113e+03
13,10,3,1.788113e+03
13,10,5,1.501504e+03
13,10,10,8.662631e+02
13,10,20,8.662539e+02
13,10,30,8.662539e+02
13,10,40,8.662539e+02
13,10,50,2.081525e+02
13,10,60,2.081433e+02
13,10,70,2.081393e+02
13,10,80,2.081299e+02
13,10,90,2.081259e+02
13,10,100,2.081259e+02
13,10,1,5.092228e+03
13,10,2,1.622105e+03
13,10,3,1.622105e+03
13,10,5,1.622105e+03
13,10,10,1.622105e+03
13,10,20,1.176828e+03
13,10,30,1.176828e+03
13,10,40,1.128963e+03
13,10,50,1.128957e+03
13,10,60,1.128957e+03
13,10,70,1.128957e+03
13,10,80,1.128957e+03
13,10,90,1.128957e+03
13,10,100,1.128957e+03
13,10,1,1.774931e+03
13,10,2,1.774915e+03
13,10,3,1.774915e+03
13,10,5,1.774915e+03
13,10,10,1.774915e+03
13,10,20,3.181883e+02
13,10,30,3.181674e+02
13,10,40,3.181674e+02
13,10,50,3.181674e+02
13,10,60,3.181674e+02
13,10,70,3.181674e+02
13,10,80,3.181512e+02
13,10,90,3.181512e+02
13,10,100,3.181356e+02
13,10,1,3.848123e+04
13,10,2,3.098136e+03
13,10,3,3.098078e+03
13,10,5,3.098078e+03
13,10,10,3.098078e+03
13,10,20,2.258534e+03
13,10,30,2.258534e+03
13,10,40,2.258534e+03
13,10,50,2.258388e+03
13,10,60,2.258335e+03
13,10,70,2.258287e+03
13,10,80,2.258287e+03
13,10,90,2.258287e+03
13,10,100,2.258228e+03
13,10,1,3.868061e+03
13,10,2,2.494782e+03
13,10,3,1.521022e+03
13,10,5,1.521009e+03
13,10,10,9.687564e+02
13,10,20,9.687428e+02
13,10,30,9.687189e+02
13,10,40,9.687189e+02
13,10,50,9.687189e+02
13,10,60,9.687189e+02
13,10,70,9.687011e+02
13,10,80,9.687011e+02
13,10,90,9.686870e+02
13,10,100,9.686783e+02
13,10,1,1.946432e+04
13,10,2,4.672846e+02
13,10,3,4.672846e+02
13,10,5,4.672846e+02
13,10,10,4.672846e+02
13,10,20,4.672846e+02
13,10,30,4.672846e+02
13,10,40,4.672586e+02
13,10,50,4.672586e+02
13,10,60,4.672446e+02
13,10,70,4.672446e+02
13,10,80,4.672446e+02
13,10,90,4.672446e+02
13,10,100,4.672417e+02
13,10,1,1.426721e+04
13,10,2,1.708141e+03
13,10,3,1.708141e+03
13,10,5,1.708141e+03
13,10,10,1.708141e+03
13,10,20,1.708141e+03
13,10,30,1.681890e+03
13,10,40,1.535408e+03
13,10,50,9.491863e+02
13,10,60,9.491775e+02
13,10,70,9.491666e+02
13,10,80,9.491666e+02
13,10,90,9.491666e+02
13,10,100,9.491666e+02
13,10,1,2.213053e+04
13,10,2,5.041417e+03
13,10,3,5.041417e+03
13,10,5,5.041417e+03
13,10,10,1.006863e+03
13,10,20,1.006859e+03
13,10,30,1.006859e+03
13,10,40,5.069210e+02
13,10,50,5.069166e+02
13,10,60,5.069088e+02
13,10,70,5.069040e+02
13,10,80,5.069009e+02
13,10,90,5.068951e+02
13,10,100,5.068951e+02
13,10,1,1.397776e+03
13,10,2,1.135097e+03
13,10,3,1.135097e+03
13,10,5,1.135097e+03
13,10,10,9.608968e+02
13,10,20,9.608968e+02
13,10,30,9.608968e+02
13,10,40,9.608968e+02
13,10,50,9.608756e+02
13,10,60,9.608224e+02
13,10,70,9.608224e+02
13,10,80,9.608224e+02
13,10,90,9.608224e+02
13,10,100,9.608049e+02
