funcid,dim,milestone,error
14,30,1,3.939006e+06
14,30,2,3.939006e+06
14,30,3,3.939006e+06
14,30,5,3.189473e+06
14,30,10,3.189473e+06
14,30,20,2.971064e+06
14,30,30,1.260098e+06
14,30,40,4.532173e+05
14,30,50,4.532173e+05
14,30,60,4.532173e+05
14,30,70,4.462853e+05
14,30,80,1.734638e+05
14,30,90,8.252631e+04
14,30,100,2.054886e+04
14,30,1,9.037025e+06
14,30,2,7.173375e+06
14,30,3,4.438484e+06
14,30,5,1.540891e+06
14,30,10,1.540891e+06
14,30,20,5.411791e+05
14,30,30,5.411791e+05
14,30,40,5.411791e+05
14,30,50,5.411791e+05
14,30,60,5.411791e+05
14,30,70,5.411791e+05
14,30,80,2.671138e+05
14,30,90,1.389244e+05
14,30,100,2.878333e+04
14,30,1,7.917221e+06
14,30,2,2.138827e+06
14,30,3,2.138827e+06
14,30,5,2.138827e+06
14,30,10,2.138827e+06
14,30,20,1.975808e+06
14,30,30,1.975808e+06
14,30,40,1.261122e+06
14,30,50,6.552988e+05
14,30,60,4.379687e+05
14,30,70,3.001811e+05
14,30,80,2.176782e+05
14,30,90,8.278589e+04
14,30,100,1.600128e+04
14,30,1,3.682840e+06
14,30,2,3.682840e+06
14,30,3,3.682840e+06
14,30,5,3.682840e+06
14,30,10,1.062492e+06
14,30,20,1.062492e+06
14,30,30,1.062492e+06
14,30,40,1.179531e+05
14,30,50,1.179531e+05
14,30,60,8.810400e+04
14,30,70,8.810400e+04
14,30,80,8.810400e+04
14,30,90,5.008877e+04
14,30,100,6.576345e+03
14,30,1,7.166252e+06
14,30,2,7.166252e+06
14,30,3,1.025688e+06
14,30,5,1.025688e+06
14,30,10,5.940697e+05
14,30,20,5.940697e+05
14,30,30,5.940697e+05
14,30,40,5.940697e+05
14,30,50,5.940697e+05
14,30,60,3.661272e+05
14,30,70,3.661272e+05
14,30,80,2.062644e+05
14,30,90,5.960668e+04
14,30,100,2.625580e+04
14,30,1,6.902654e+06
14,30,2,6.280004e+06
14,30,3,8.236076e+05
14,30,5,8.236076e+05
14,30,10,8.236076e+05
14,30,20,8.236076e+05
14,30,30,8.236076e+05
14,30,40,7.412222e+05
14,30,50,5.515123e+05
14,30,60,3.431781e+05
14,30,70,2.188528e+05
14,30,80,2.188528e+05
14,30,90,1.671356e+05
14,30,100,6.027965e+04
14,30,1,4.225494e+06
14,30,2,4.225494e+06
14,30,3,4.225494e+06
14,30,5,3.620924e+06
14,30,10,1.002920e+06
14,30,20,4.211747e+05
14,30,30,4.211747e+05
14,30,40,4.211747e+05
14,30,50,4.211747e+05
14,30,60,4.211747e+05
14,30,70,2.471648e+05
14,30,80,2.299135e+05
14,30,90,5.731235e+04
14,30,100,1.841762e+04
14,30,1,1.513898e+07
14,30,2,1.513898e+07
14,30,3,1.513898e+07
14,30,5,3.337306e+06
14,30,10,3.337306e+06
14,30,20,1.930104e+06
14,30,30,6.270914e+05
14,30,40,6.270914e+05
14,30,50,6.270914e+05
14,30,60,6.270914e+05
14,30,70,1.310701e+05
14,30,80,1.310701e+05
14,30,90,1.233816e+05
14,30,100,3.125757e+04
14,30,1,6.559394e+06
14,30,2,6.559394e+06
14,30,3,3.840828e+06
14,30,5,2.800610e+06
14,30,10,7.044617e+05
14,30,20,7.044617e+05
14,30,30,6.368602e+05
14,30,40,6.368602e+05
14,30,50,5.241277e+05
14,30,60,5.091258e+05
14,30,70,4.625289e+05
14,30,80,2.602517e+05
14,30,90,1.012881e+05
14,30,100,1.150022e+04
14,30,1,4.306060e+06
14,30,2,1.617965e+06
14,30,3,1.617965e+06
14,30,5,1.617965e+06
14,30,10,1.617965e+06
14,30,20,1.051142e+06
14,30,30,1.051142e+06
14,30,40,2.303310e+05
14,30,50,2.303310e+05
14,30,60,2.303310e+05
14,30,70,9.828733e+04
14,30,80,7.113732e+04
14,30,90,7.037525e+04
14,30,100,1.003952e+04
